DATE,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
196307,-0.39,-0.46,-0.82,0.72,-1.16,0.27,0.99
196308,5.07,-0.81,1.63,0.42,-0.4,0.25,1.08
196309,-1.57,-0.48,0.19,-0.8,0.23,0.27,0.13
196310,2.53,-1.29,-0.11,2.75,-2.26,0.29,3.14
196311,-0.85,-0.84,1.66,-0.34,2.22,0.27,-0.75
196312,1.83,-1.87,-0.11,0.18,-0.31,0.29,1.7
196401,2.24,0.09,1.64,0.21,1.51,0.3,1.06
196402,1.54,0.3,2.83,0.04,0.87,0.26,0.25
196403,1.41,1.43,3.36,-2.01,2.94,0.31,0.71
196404,0.1,-1.52,-0.42,-1.39,-1.09,0.29,-0.59
196405,1.42,-0.67,1.88,-0.28,0.24,0.26,2.54
196406,1.27,0.07,0.72,-0.36,0.13,0.3,0.47
196407,1.74,0.47,0.7,0.02,1.91,0.3,-0.32
196408,-1.44,0.3,0.12,-0.09,0.35,0.28,-0.2
196409,2.69,-0.31,1.65,-0.36,0.59,0.28,-0.38
196410,0.59,0.91,1.14,-0.18,0.45,0.29,0.13
196411,0,-0.28,-1.96,0.62,-0.17,0.29,1.1
196412,0.03,-0.56,-2.58,1.27,-1.64,0.31,-0.71
196501,3.54,2.48,0.2,0.75,0.15,0.28,-1.3
196502,0.44,3.3,0.19,0.26,-0.67,0.3,0.28
196503,-1.34,2.01,1.07,-0.33,0.75,0.36,0.09
196504,3.11,1.19,0.7,0.34,-2.3,0.31,2.54
196505,-0.77,0.04,-1.62,-0.47,0.73,0.31,0.53
196506,-5.51,-4.31,0.58,0.13,0.44,0.35,-3.13
196507,1.43,1.05,2.21,-1.43,0,0.31,4.09
196508,2.73,2.74,-1.07,1.9,-0.72,0.33,2.58
196509,2.86,0.62,-0.11,-1.07,0.84,0.31,3.32
196510,2.6,3.41,1.6,1.24,-0.73,0.31,3.44
196511,-0.03,5.21,0.23,-1.08,-0.89,0.35,4.41
196512,1.01,2.67,2.08,-1.13,-0.5,0.33,0.15
196601,0.72,4.67,3.57,-2.9,-0.06,0.38,5.43
196602,-1.21,4.79,0.36,0.1,-1.45,0.35,4.54
196603,-2.51,0.24,-2.05,1.27,-0.04,0.38,1.35
196604,2.14,3.36,-0.44,0.4,-0.92,0.34,6.21
196605,-5.66,-5.15,-1.65,1.76,-1.5,0.41,-4.73
196606,-1.44,1.37,0.49,-0.04,0.77,0.38,3.31
196607,-1.63,-0.4,0.82,-0.5,1.72,0.35,-1.41
196608,-7.91,-3.06,0.56,0.27,0.88,0.41,-2.08
196609,-1.06,-1.14,0.5,-1.17,2.47,0.4,-1.77
196610,3.86,-6.47,2.81,-3.54,4.26,0.45,-5.13
196611,1.4,3.46,-4.6,4.17,-6.63,0.4,5.73
196612,0.13,1.95,-1.29,0.86,-0.22,0.4,1.07
196701,8.15,9.09,2.03,0.57,-3.16,0.43,-6.75
196702,0.78,3.08,-2.26,2.15,-0.98,0.36,3.56
196703,3.99,1.99,0.19,0.63,-1.59,0.39,1.43
196704,3.89,0.42,-2.54,2.57,-3.7,0.32,0.62
196705,-4.33,2.34,0.89,-1.85,1.64,0.33,0.59
196706,2.41,6.48,0.94,-0.64,-2.4,0.27,6.04
196707,4.58,3.24,2.65,-1.58,2.72,0.31,-1.09
196708,-0.89,0.76,1.47,0.51,1.39,0.31,-1.41
196709,3.11,2.4,-2.47,-0.02,-0.96,0.32,2.55
196710,-3.09,0.48,-3.39,0.9,-2.59,0.39,3.66
196711,0.37,-0.01,-1.71,1.29,-2.29,0.36,1.29
196712,3.05,5.71,-0.39,-1.03,0.1,0.33,3.23
196801,-4.06,4.53,4.76,-3.88,6.44,0.4,-4.64
196802,-3.75,-2.91,1.17,-0.11,2.49,0.39,-3.4
