DATE,Mkt-RF,SMB,HML,RF,MOM
192701,-0.06,-0.56,4.83,0.25,0.44
192702,4.18,-0.1,3.17,0.26,-2.01
192703,0.13,-1.6,-2.67,0.3,3.59
192704,0.46,0.43,0.6,0.25,4.19
192705,5.44,1.41,4.93,0.3,3.01
192706,-2.34,0.47,-1.53,0.26,0.51
192707,7.26,-3.23,-1.16,0.3,4.32
192708,1.97,-0.72,-3.69,0.28,1.12
192709,4.76,-3.57,-0.71,0.21,1.93
192710,-4.31,2.13,-4.33,0.25,-1.11
192711,6.58,2.76,-0.31,0.21,-0.68
192712,2.09,0.93,-1.06,0.22,3.19
192801,-0.68,4.25,-0.72,0.25,-0.6
192802,-1.7,-2.03,-0.69,0.33,-1.02
192803,8.81,-0.26,-1.2,0.29,4.87
192804,4.23,3.82,3.67,0.22,-5.65
192805,1.52,2.98,-3.46,0.32,2.85
192806,-4.85,-3.5,-0.06,0.31,2.05
192807,0.62,-1.35,-0.47,0.32,2.75
192808,6.68,-2.07,-2.11,0.32,3.62
192809,2.88,2.18,0.76,0.27,3.62
192810,1.33,2.27,-2.26,0.41,5.05
192811,11.81,-1.81,2.8,0.38,1.93
192812,0.36,-0.85,-0.6,0.06,1.71
192901,4.66,-3.55,-1.21,0.34,2.43
192902,-0.34,-0.39,1.68,0.36,3.05
192903,-0.89,-4.78,1.56,0.34,-1.05
192904,1.43,-0.99,0.61,0.36,1.9
192905,-6.39,-5.46,-1.57,0.44,-2.04
192906,9.7,-2.17,-2.76,0.52,8.72
192907,4.46,-3.87,2.67,0.33,2.83
192908,8.18,-9.51,0.07,0.4,4.59
192909,-5.47,1.17,-0.63,0.35,3.04
192910,-20.12,-4.08,7.85,0.46,4.09
192911,-12.74,-1.91,5.33,0.37,-2.39
192912,1.33,-4.2,-0.59,0.37,5.13
193001,5.61,3.58,-1.01,0.14,-5.24
193002,2.5,0.12,0.39,0.3,0.45
193003,7.1,3.44,0.15,0.35,-4.18
193004,-2.06,-0.17,-0.84,0.21,3.91
193005,-1.66,-2.04,-0.63,0.26,-0.02
193006,-16.27,-3.22,2,0.27,6.61
193007,4.12,-0.37,-1.56,0.2,-2.16
193008,0.3,-2.22,-0.78,0.09,3.95
193009,-12.75,-2.22,-5.27,0.22,11.44
193010,-8.78,-0.1,-1.35,0.09,7.01
193011,-3.04,2.21,-3.53,0.13,-1.17
193012,-7.83,-4.68,-5.39,0.14,13.29
193101,6.24,3.81,7.21,0.15,-10.94
193102,10.88,3.39,1.6,0.04,-14.37
193103,-6.43,3.07,-3.65,0.13,9.55
193104,-9.98,-4.61,-3.92,0.08,11.42
193105,-13.24,5.16,-6.57,0.09,9.03
193106,13.9,-5.38,11.3,0.08,-17.85
193107,-6.62,1.43,-2.1,0.06,8.05
193108,0.41,-1.97,-1.49,0.03,-3.52
193109,-29.13,0.56,-6.75,0.03,10.18
193110,8.04,-1.87,1.7,0.1,3.28
193111,-9.08,4.3,-5.05,0.17,7.61
193112,-13.53,-0.56,-8.86,0.12,14.17
193201,-1.58,3.94,9.04,0.23,-10.32
193202,5.46,-2.77,-1.45,0.23,1.62
193203,-11.21,2.27,-2.32,0.16,10.33
193204,-17.96,1.44,1.42,0.11,6.78
193205,-20.51,3.72,-3.28,0.06,12.2
193206,-0.7,0.35,5.32,0.02,2.1
193207,33.84,-4.44,35.46,0.03,-43.94
193208,37.06,14.29,33.03,0.03,-52.26
193209,-2.94,-2.43,-6.82,0.03,2.44
193210,-13.17,-2.76,-10.04,0.02,4.29
193211,-5.88,2.08,-13.28,0.02,-2.09
193212,4.4,-8.27,-8.16,0.01,5.26
193301,1.25,0.63,6.14,0.01,-1.53
193302,-15.24,-2.75,-2.73,-0.03,4.19
193303,3.29,3.9,7.38,0.04,2.35
193304,38.85,4.56,17.43,0.1,-15.95
193305,21.43,36.7,19.03,0.04,-3.92
193306,13.11,8.67,-1.88,0.02,3.54
193307,-9.63,-1.01,3.27,0.02,0.41
193308,12.05,-5.45,2.96,0.03,7.51
193309,-10.65,-0.32,-11.77,0.02,1.65
193310,-8.36,-0.08,-8.46,0.01,-2.28
193311,9.97,-6.48,2.33,0.02,6.35
193312,1.83,0.66,-1.53,0.02,3.96
193401,12.6,12.53,15.54,0.05,-3.1
193402,-2.5,5.19,2.12,0.02,-0.25
193403,0.09,2.51,-2.73,0.02,-0.86
193404,-1.79,2.8,-3.75,0.01,-5.12
193405,-7.25,-0.26,-5.91,0.01,-2.83
193406,2.64,-2.14,-2.92,0.01,-0.96
193407,-10.96,-6.94,-10.66,0.01,8.73
193408,5.58,5.42,0.5,0.01,2.41
193409,-0.23,-1.52,-1.24,0.01,-0.1
193410,-1.66,1.24,-5.11,0.01,6.91
193411,8.33,6.49,-2.24,0.01,4.22
193412,0.36,3.08,-3.17,0.01,4.63
193501,-3.45,1.07,-1.89,0.01,3.6
193502,-1.94,0.42,-7.24,0.02,13.75
193503,-3.68,-3.54,-5.06,0.01,2.86
193504,9.06,-1.56,4.27,0.01,-4.72
193505,3.47,-3.28,2.52,0.01,-3.67
193506,5.93,-5.03,2.13,0.01,2.07
193507,7.51,1.47,6.86,0.01,-4.22
193508,2.65,6.28,5.7,0.01,-7.69
193509,2.63,1.57,-4.05,0.01,8.93
193510,7.03,2.65,-2.33,0.01,2.09
193511,4.88,4.3,11.91,0.02,-5.91
193512,4.56,0.22,1.07,0.01,3.75
193601,6.89,5.1,10.51,0.01,-3.36
193602,2.49,1.14,5.04,0.01,2.57
193603,0.99,0.66,-1.66,0.02,1.73
193604,-8.14,-6.03,-2.08,0.02,-7.83
193605,5.19,0.81,2.63,0.02,2.37
193606,2.4,-3.25,-1.2,0.03,0.45
193607,6.67,1.14,2.56,0.01,2.9
193608,0.99,0.72,3.99,0.02,0.61
193609,0.98,3.07,0.88,0.01,1.27
193610,7.12,-2.39,2.52,0.02,0.99
193611,3.27,9.01,-0.92,0.01,2.11
193612,0.21,3.61,3.96,0,2.11
193701,3.35,4.31,2.61,0.01,-1.85
193702,1.09,1.23,5.05,0.02,2.98
193703,-0.27,-1.78,6.39,0.01,2.81
193704,-7.36,-3.77,-3.61,0.03,-3.71
193705,-0.83,-0.66,-3.49,0.06,0.51
193706,-4.21,-3.65,-3.21,0.03,0.68
193707,8.91,0.85,0.82,0.03,-0.4
193708,-4.86,0.42,-2.25,0.02,-1.79
193709,-13.61,-6.89,-4.57,0.04,-7.14
193710,-9.61,0.45,-1.62,0.02,-1.56
193711,-8.31,-3.65,0.2,0.02,-0.97
193712,-4.24,-7.76,-0.39,0,4.7
193801,0.49,4.97,-1.6,0,-1.44
193802,5.84,0.35,-2.02,0,-3.08
193803,-23.82,-4.24,-3.52,-0.01,15.75
193804,14.51,6.37,0.18,0.01,-8.88
193805,-3.83,-2.47,-0.28,0,7.13
193806,23.87,4.05,0.3,0,-24.86
193807,7.34,6.66,2.18,-0.01,-6.44
193808,-2.67,-2.44,-4.72,0,3.95
193809,0.81,-2.72,-1.62,0.02,2.53
193810,7.8,5.83,5.01,0.01,-7.7
193811,-1.72,-2.56,-1.23,-0.06,3.13
193812,4.19,-1.8,0.5,0,2.05
193901,-5.96,-1.56,-3.92,-0.01,-3.05
193902,3.51,0.63,2.95,0.01,3.25
193903,-11.99,-4.76,-8.29,-0.01,-1.48
193904,-0.18,1.66,-0.3,0,2.7
193905,6.8,2.81,0.47,0.01,3.56
193906,-5.31,-1.02,-5.41,0.01,1.96
193907,10.24,4.32,-0.03,0,-0.57
193908,-6.68,-4.61,-2.42,-0.01,5.9
193909,16.88,20.23,22.22,0.01,-30.35
193910,-0.53,-0.01,-4.89,0,6.48
193911,-3.62,-5.07,-6.46,0,-0.22
193912,3.03,0.79,-4.06,0,5.4
194001,-2.41,0.24,-0.77,0,1.74
194002,1.44,2.51,-0.32,0,1.81
194003,2.05,1.25,-1.27,0,-0.36
194004,0.22,3.92,-0.13,0,3.33
194005,-21.95,-6.66,-3.69,-0.02,2.86
194006,6.67,-2.13,4.63,0,-2.14
194007,3.16,1.01,-0.74,0.01,0.85
194008,2.19,-0.11,0.56,-0.01,-1.61
194009,2.39,3.22,-1.13,0,-0.26
194010,3.02,0.28,4.64,0,-6.53
